[2023-06-09 20:47:42] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-09 20:47:42] Command line arguments:
- args.data_root             : ./data/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/R34x1_b2048_i64k_lr0.8-wd0.0001-s42-fp16/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-09 20:47:43] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-06-09 20:47:59] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-06-09 20:48:00] The number of trainable parameters: 21796672
[2023-06-09 20:55:11] [Iter    1000/  64000] trn/loss 6.290e+00, trn/negative_log_likelihood 6.290e+00, trn/w_norm 1.451e+02, trn/g_norm 5.819e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 5.558e-02, val/nll 5.469e+00, val/best_acc 5.558e-02 (best_acc: 0.000e+00 -> 5.558e-02)
[2023-06-09 21:58:45] [Iter   12000/  64000] trn/loss 2.451e+00, trn/negative_log_likelihood 2.451e+00, trn/w_norm 1.434e+02, trn/g_norm 7.719e-01, trn/lr 7.846e-01, trn/dyn_scale 6.554e+04, val/acc 4.478e-01, val/nll 2.458e+00, val/best_acc 4.478e-01 (best_acc: 4.390e-01 -> 4.478e-01)
[2023-06-09 22:04:22] [Iter   13000/  64000] trn/loss 2.429e+00, trn/negative_log_likelihood 2.429e+00, trn/w_norm 1.437e+02, trn/g_norm 7.751e-01, trn/lr 7.780e-01, trn/dyn_scale 6.554e+04, val/acc 4.559e-01, val/nll 2.409e+00, val/best_acc 4.559e-01 (best_acc: 4.478e-01 -> 4.559e-01)
[2023-06-09 22:09:58] [Iter   14000/  64000] trn/loss 2.410e+00, trn/negative_log_likelihood 2.410e+00, trn/w_norm 1.439e+02, trn/g_norm 7.772e-01, trn/lr 7.703e-01, trn/dyn_scale 6.554e+04, val/acc 4.594e-01, val/nll 2.385e+00, val/best_acc 4.594e-01 (best_acc: 4.559e-01 -> 4.594e-01)
[2023-06-09 22:15:32] [Iter   15000/  64000] trn/loss 2.394e+00, trn/negative_log_likelihood 2.394e+00, trn/w_norm 1.440e+02, trn/g_norm 7.805e-01, trn/lr 7.616e-01, trn/dyn_scale 6.554e+04, val/acc 4.610e-01, val/nll 2.366e+00, val/best_acc 4.610e-01 (best_acc: 4.594e-01 -> 4.610e-01)
[2023-06-09 22:21:07] [Iter   16000/  64000] trn/loss 2.377e+00, trn/negative_log_likelihood 2.377e+00, trn/w_norm 1.439e+02, trn/g_norm 7.840e-01, trn/lr 7.517e-01, trn/dyn_scale 6.554e+04, val/acc 4.550e-01, val/nll 2.373e+00, val/best_acc 4.610e-01
[2023-06-09 22:26:42] [Iter   17000/  64000] trn/loss 2.362e+00, trn/negative_log_likelihood 2.362e+00, trn/w_norm 1.437e+02, trn/g_norm 7.859e-01, trn/lr 7.408e-01, trn/dyn_scale 6.554e+04, val/acc 4.607e-01, val/nll 2.351e+00, val/best_acc 4.610e-01
[2023-06-09 22:32:17] [Iter   18000/  64000] trn/loss 2.347e+00, trn/negative_log_likelihood 2.347e+00, trn/w_norm 1.436e+02, trn/g_norm 7.900e-01, trn/lr 7.289e-01, trn/dyn_scale 6.554e+04, val/acc 4.448e-01, val/nll 2.468e+00, val/best_acc 4.610e-01
[2023-06-09 22:37:56] [Iter   19000/  64000] trn/loss 2.332e+00, trn/negative_log_likelihood 2.332e+00, trn/w_norm 1.434e+02, trn/g_norm 7.941e-01, trn/lr 7.160e-01, trn/dyn_scale 6.554e+04, val/acc 4.473e-01, val/nll 2.443e+00, val/best_acc 4.610e-01
[2023-06-09 22:43:35] [Iter   20000/  64000] trn/loss 2.312e+00, trn/negative_log_likelihood 2.312e+00, trn/w_norm 1.432e+02, trn/g_norm 7.991e-01, trn/lr 7.021e-01, trn/dyn_scale 6.554e+04, val/acc 4.915e-01, val/nll 2.205e+00, val/best_acc 4.915e-01 (best_acc: 4.610e-01 -> 4.915e-01)
[2023-06-09 22:49:15] [Iter   21000/  64000] trn/loss 2.296e+00, trn/negative_log_likelihood 2.296e+00, trn/w_norm 1.428e+02, trn/g_norm 8.032e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.908e-01, val/nll 2.182e+00, val/best_acc 4.915e-01
[2023-06-09 22:54:49] [Iter   22000/  64000] trn/loss 2.284e+00, trn/negative_log_likelihood 2.284e+00, trn/w_norm 1.424e+02, trn/g_norm 8.094e-01, trn/lr 6.718e-01, trn/dyn_scale 6.554e+04, val/acc 4.774e-01, val/nll 2.277e+00, val/best_acc 4.915e-01
[2023-06-09 23:00:20] [Iter   23000/  64000] trn/loss 2.264e+00, trn/negative_log_likelihood 2.264e+00, trn/w_norm 1.420e+02, trn/g_norm 8.141e-01, trn/lr 6.554e-01, trn/dyn_scale 6.554e+04, val/acc 4.904e-01, val/nll 2.210e+00, val/best_acc 4.915e-01
[2023-06-09 23:05:52] [Iter   24000/  64000] trn/loss 2.250e+00, trn/negative_log_likelihood 2.250e+00, trn/w_norm 1.415e+02, trn/g_norm 8.198e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 5.087e-01, val/nll 2.101e+00, val/best_acc 5.087e-01 (best_acc: 4.915e-01 -> 5.087e-01)
[2023-06-09 23:11:24] [Iter   25000/  64000] trn/loss 2.231e+00, trn/negative_log_likelihood 2.231e+00, trn/w_norm 1.410e+02, trn/g_norm 8.271e-01, trn/lr 6.204e-01, trn/dyn_scale 6.554e+04, val/acc 5.020e-01, val/nll 2.148e+00, val/best_acc 5.087e-01
[2023-06-09 23:16:56] [Iter   26000/  64000] trn/loss 2.214e+00, trn/negative_log_likelihood 2.214e+00, trn/w_norm 1.405e+02, trn/g_norm 8.342e-01, trn/lr 6.019e-01, trn/dyn_scale 6.554e+04, val/acc 4.885e-01, val/nll 2.230e+00, val/best_acc 5.087e-01
[2023-06-09 23:22:31] [Iter   27000/  64000] trn/loss 2.199e+00, trn/negative_log_likelihood 2.199e+00, trn/w_norm 1.398e+02, trn/g_norm 8.413e-01, trn/lr 5.827e-01, trn/dyn_scale 6.554e+04, val/acc 5.067e-01, val/nll 2.104e+00, val/best_acc 5.087e-01
[2023-06-09 23:28:09] [Iter   28000/  64000] trn/loss 2.178e+00, trn/negative_log_likelihood 2.178e+00, trn/w_norm 1.392e+02, trn/g_norm 8.502e-01, trn/lr 5.631e-01, trn/dyn_scale 6.554e+04, val/acc 5.060e-01, val/nll 2.142e+00, val/best_acc 5.087e-01
[2023-06-09 23:33:43] [Iter   29000/  64000] trn/loss 2.156e+00, trn/negative_log_likelihood 2.156e+00, trn/w_norm 1.386e+02, trn/g_norm 8.598e-01, trn/lr 5.429e-01, trn/dyn_scale 6.554e+04, val/acc 5.133e-01, val/nll 2.092e+00, val/best_acc 5.133e-01 (best_acc: 5.087e-01 -> 5.133e-01)
[2023-06-09 23:39:18] [Iter   30000/  64000] trn/loss 2.137e+00, trn/negative_log_likelihood 2.137e+00, trn/w_norm 1.379e+02, trn/g_norm 8.686e-01, trn/lr 5.224e-01, trn/dyn_scale 6.554e+04, val/acc 5.323e-01, val/nll 1.988e+00, val/best_acc 5.323e-01 (best_acc: 5.133e-01 -> 5.323e-01)
[2023-06-09 23:44:51] [Iter   31000/  64000] trn/loss 2.118e+00, trn/negative_log_likelihood 2.118e+00, trn/w_norm 1.371e+02, trn/g_norm 8.769e-01, trn/lr 5.014e-01, trn/dyn_scale 6.554e+04, val/acc 5.229e-01, val/nll 2.041e+00, val/best_acc 5.323e-01
[2023-06-09 23:50:29] [Iter   32000/  64000] trn/loss 2.097e+00, trn/negative_log_likelihood 2.097e+00, trn/w_norm 1.363e+02, trn/g_norm 8.900e-01, trn/lr 4.802e-01, trn/dyn_scale 6.554e+04, val/acc 5.303e-01, val/nll 2.003e+00, val/best_acc 5.323e-01
[2023-06-09 23:56:03] [Iter   33000/  64000] trn/loss 2.073e+00, trn/negative_log_likelihood 2.073e+00, trn/w_norm 1.354e+02, trn/g_norm 8.994e-01, trn/lr 4.587e-01, trn/dyn_scale 6.554e+04, val/acc 5.134e-01, val/nll 2.080e+00, val/best_acc 5.323e-01
[2023-06-10 00:01:39] [Iter   34000/  64000] trn/loss 2.052e+00, trn/negative_log_likelihood 2.052e+00, trn/w_norm 1.345e+02, trn/g_norm 9.122e-01, trn/lr 4.370e-01, trn/dyn_scale 6.554e+04, val/acc 5.348e-01, val/nll 1.983e+00, val/best_acc 5.348e-01 (best_acc: 5.323e-01 -> 5.348e-01)
[2023-06-10 00:07:09] [Iter   35000/  64000] trn/loss 2.027e+00, trn/negative_log_likelihood 2.027e+00, trn/w_norm 1.336e+02, trn/g_norm 9.257e-01, trn/lr 4.153e-01, trn/dyn_scale 6.554e+04, val/acc 5.511e-01, val/nll 1.891e+00, val/best_acc 5.511e-01 (best_acc: 5.348e-01 -> 5.511e-01)
[2023-06-10 00:12:40] [Iter   36000/  64000] trn/loss 2.005e+00, trn/negative_log_likelihood 2.005e+00, trn/w_norm 1.326e+02, trn/g_norm 9.400e-01, trn/lr 3.935e-01, trn/dyn_scale 6.554e+04, val/acc 5.503e-01, val/nll 1.905e+00, val/best_acc 5.511e-01
[2023-06-10 00:18:12] [Iter   37000/  64000] trn/loss 1.980e+00, trn/negative_log_likelihood 1.980e+00, trn/w_norm 1.316e+02, trn/g_norm 9.542e-01, trn/lr 3.717e-01, trn/dyn_scale 6.554e+04, val/acc 5.500e-01, val/nll 1.892e+00, val/best_acc 5.511e-01
[2023-06-10 00:23:52] [Iter   38000/  64000] trn/loss 1.953e+00, trn/negative_log_likelihood 1.953e+00, trn/w_norm 1.305e+02, trn/g_norm 9.703e-01, trn/lr 3.500e-01, trn/dyn_scale 6.554e+04, val/acc 5.619e-01, val/nll 1.842e+00, val/best_acc 5.619e-01 (best_acc: 5.511e-01 -> 5.619e-01)
[2023-06-10 00:29:24] [Iter   39000/  64000] trn/loss 1.925e+00, trn/negative_log_likelihood 1.925e+00, trn/w_norm 1.294e+02, trn/g_norm 9.872e-01, trn/lr 3.284e-01, trn/dyn_scale 6.554e+04, val/acc 5.614e-01, val/nll 1.835e+00, val/best_acc 5.619e-01
[2023-06-10 00:34:58] [Iter   40000/  64000] trn/loss 1.897e+00, trn/negative_log_likelihood 1.897e+00, trn/w_norm 1.281e+02, trn/g_norm 1.004e+00, trn/lr 3.071e-01, trn/dyn_scale 6.554e+04, val/acc 5.798e-01, val/nll 1.757e+00, val/best_acc 5.798e-01 (best_acc: 5.619e-01 -> 5.798e-01)
[2023-06-10 00:40:34] [Iter   41000/  64000] trn/loss 1.870e+00, trn/negative_log_likelihood 1.870e+00, trn/w_norm 1.269e+02, trn/g_norm 1.024e+00, trn/lr 2.860e-01, trn/dyn_scale 6.554e+04, val/acc 5.863e-01, val/nll 1.733e+00, val/best_acc 5.863e-01 (best_acc: 5.798e-01 -> 5.863e-01)
[2023-06-10 00:46:10] [Iter   42000/  64000] trn/loss 1.839e+00, trn/negative_log_likelihood 1.839e+00, trn/w_norm 1.256e+02, trn/g_norm 1.046e+00, trn/lr 2.653e-01, trn/dyn_scale 6.554e+04, val/acc 5.915e-01, val/nll 1.686e+00, val/best_acc 5.915e-01 (best_acc: 5.863e-01 -> 5.915e-01)
[2023-06-10 00:51:40] [Iter   43000/  64000] trn/loss 1.807e+00, trn/negative_log_likelihood 1.807e+00, trn/w_norm 1.243e+02, trn/g_norm 1.066e+00, trn/lr 2.449e-01, trn/dyn_scale 6.554e+04, val/acc 6.008e-01, val/nll 1.669e+00, val/best_acc 6.008e-01 (best_acc: 5.915e-01 -> 6.008e-01)
[2023-06-10 00:57:10] [Iter   44000/  64000] trn/loss 1.777e+00, trn/negative_log_likelihood 1.777e+00, trn/w_norm 1.229e+02, trn/g_norm 1.090e+00, trn/lr 2.251e-01, trn/dyn_scale 6.554e+04, val/acc 6.095e-01, val/nll 1.616e+00, val/best_acc 6.095e-01 (best_acc: 6.008e-01 -> 6.095e-01)
[2023-06-10 01:02:45] [Iter   45000/  64000] trn/loss 1.743e+00, trn/negative_log_likelihood 1.743e+00, trn/w_norm 1.215e+02, trn/g_norm 1.114e+00, trn/lr 2.057e-01, trn/dyn_scale 6.554e+04, val/acc 6.220e-01, val/nll 1.549e+00, val/best_acc 6.220e-01 (best_acc: 6.095e-01 -> 6.220e-01)
[2023-06-10 01:08:17] [Iter   46000/  64000] trn/loss 1.713e+00, trn/negative_log_likelihood 1.713e+00, trn/w_norm 1.200e+02, trn/g_norm 1.141e+00, trn/lr 1.870e-01, trn/dyn_scale 6.554e+04, val/acc 6.253e-01, val/nll 1.543e+00, val/best_acc 6.253e-01 (best_acc: 6.220e-01 -> 6.253e-01)
[2023-06-10 01:13:51] [Iter   47000/  64000] trn/loss 1.676e+00, trn/negative_log_likelihood 1.676e+00, trn/w_norm 1.185e+02, trn/g_norm 1.170e+00, trn/lr 1.688e-01, trn/dyn_scale 6.554e+04, val/acc 6.394e-01, val/nll 1.473e+00, val/best_acc 6.394e-01 (best_acc: 6.253e-01 -> 6.394e-01)
[2023-06-10 01:19:24] [Iter   48000/  64000] trn/loss 1.640e+00, trn/negative_log_likelihood 1.640e+00, trn/w_norm 1.170e+02, trn/g_norm 1.200e+00, trn/lr 1.514e-01, trn/dyn_scale 6.554e+04, val/acc 6.418e-01, val/nll 1.463e+00, val/best_acc 6.418e-01 (best_acc: 6.394e-01 -> 6.418e-01)
[2023-06-10 01:24:54] [Iter   49000/  64000] trn/loss 1.600e+00, trn/negative_log_likelihood 1.600e+00, trn/w_norm 1.154e+02, trn/g_norm 1.234e+00, trn/lr 1.347e-01, trn/dyn_scale 6.554e+04, val/acc 6.423e-01, val/nll 1.451e+00, val/best_acc 6.423e-01 (best_acc: 6.418e-01 -> 6.423e-01)
[2023-06-10 01:30:25] [Iter   50000/  64000] trn/loss 1.562e+00, trn/negative_log_likelihood 1.562e+00, trn/w_norm 1.138e+02, trn/g_norm 1.267e+00, trn/lr 1.187e-01, trn/dyn_scale 6.554e+04, val/acc 6.538e-01, val/nll 1.403e+00, val/best_acc 6.538e-01 (best_acc: 6.423e-01 -> 6.538e-01)
[2023-06-10 01:35:56] [Iter   51000/  64000] trn/loss 1.522e+00, trn/negative_log_likelihood 1.522e+00, trn/w_norm 1.123e+02, trn/g_norm 1.306e+00, trn/lr 1.037e-01, trn/dyn_scale 6.554e+04, val/acc 6.671e-01, val/nll 1.349e+00, val/best_acc 6.671e-01 (best_acc: 6.538e-01 -> 6.671e-01)
[2023-06-10 01:41:25] [Iter   52000/  64000] trn/loss 1.481e+00, trn/negative_log_likelihood 1.481e+00, trn/w_norm 1.107e+02, trn/g_norm 1.344e+00, trn/lr 8.946e-02, trn/dyn_scale 6.554e+04, val/acc 6.609e-01, val/nll 1.380e+00, val/best_acc 6.671e-01
[2023-06-10 01:46:58] [Iter   53000/  64000] trn/loss 1.437e+00, trn/negative_log_likelihood 1.437e+00, trn/w_norm 1.091e+02, trn/g_norm 1.385e+00, trn/lr 7.618e-02, trn/dyn_scale 6.554e+04, val/acc 6.783e-01, val/nll 1.299e+00, val/best_acc 6.783e-01 (best_acc: 6.671e-01 -> 6.783e-01)
[2023-06-10 01:52:35] [Iter   54000/  64000] trn/loss 1.393e+00, trn/negative_log_likelihood 1.393e+00, trn/w_norm 1.076e+02, trn/g_norm 1.429e+00, trn/lr 6.387e-02, trn/dyn_scale 6.554e+04, val/acc 6.913e-01, val/nll 1.244e+00, val/best_acc 6.913e-01 (best_acc: 6.783e-01 -> 6.913e-01)
[2023-06-10 01:58:14] [Iter   55000/  64000] trn/loss 1.349e+00, trn/negative_log_likelihood 1.349e+00, trn/w_norm 1.061e+02, trn/g_norm 1.474e+00, trn/lr 5.255e-02, trn/dyn_scale 6.554e+04, val/acc 7.006e-01, val/nll 1.197e+00, val/best_acc 7.006e-01 (best_acc: 6.913e-01 -> 7.006e-01)
[2023-06-10 02:04:01] [Iter   56000/  64000] trn/loss 1.304e+00, trn/negative_log_likelihood 1.304e+00, trn/w_norm 1.047e+02, trn/g_norm 1.518e+00, trn/lr 4.227e-02, trn/dyn_scale 6.554e+04, val/acc 7.066e-01, val/nll 1.168e+00, val/best_acc 7.066e-01 (best_acc: 7.006e-01 -> 7.066e-01)
[2023-06-10 02:09:46] [Iter   57000/  64000] trn/loss 1.258e+00, trn/negative_log_likelihood 1.258e+00, trn/w_norm 1.034e+02, trn/g_norm 1.563e+00, trn/lr 3.305e-02, trn/dyn_scale 6.554e+04, val/acc 7.125e-01, val/nll 1.154e+00, val/best_acc 7.125e-01 (best_acc: 7.066e-01 -> 7.125e-01)
[2023-06-10 02:15:37] [Iter   58000/  64000] trn/loss 1.213e+00, trn/negative_log_likelihood 1.213e+00, trn/w_norm 1.023e+02, trn/g_norm 1.604e+00, trn/lr 2.492e-02, trn/dyn_scale 6.554e+04, val/acc 7.198e-01, val/nll 1.111e+00, val/best_acc 7.198e-01 (best_acc: 7.125e-01 -> 7.198e-01)
[2023-06-10 02:21:22] [Iter   59000/  64000] trn/loss 1.171e+00, trn/negative_log_likelihood 1.171e+00, trn/w_norm 1.014e+02, trn/g_norm 1.644e+00, trn/lr 1.791e-02, trn/dyn_scale 6.554e+04, val/acc 7.273e-01, val/nll 1.083e+00, val/best_acc 7.273e-01 (best_acc: 7.198e-01 -> 7.273e-01)
[2023-06-10 02:27:21] [Iter   60000/  64000] trn/loss 1.135e+00, trn/negative_log_likelihood 1.135e+00, trn/w_norm 1.006e+02, trn/g_norm 1.673e+00, trn/lr 1.204e-02, trn/dyn_scale 6.554e+04, val/acc 7.302e-01, val/nll 1.066e+00, val/best_acc 7.302e-01 (best_acc: 7.273e-01 -> 7.302e-01)
[2023-06-10 02:33:03] [Iter   61000/  64000] trn/loss 1.104e+00, trn/negative_log_likelihood 1.104e+00, trn/w_norm 1.001e+02, trn/g_norm 1.695e+00, trn/lr 7.317e-03, trn/dyn_scale 6.554e+04, val/acc 7.347e-01, val/nll 1.047e+00, val/best_acc 7.347e-01 (best_acc: 7.302e-01 -> 7.347e-01)
[2023-06-10 02:38:52] [Iter   62000/  64000] trn/loss 1.080e+00, trn/negative_log_likelihood 1.080e+00, trn/w_norm 9.981e+01, trn/g_norm 1.708e+00, trn/lr 3.763e-03, trn/dyn_scale 6.554e+04, val/acc 7.365e-01, val/nll 1.037e+00, val/best_acc 7.365e-01 (best_acc: 7.347e-01 -> 7.365e-01)
[2023-06-10 02:44:48] [Iter   63000/  64000] trn/loss 1.065e+00, trn/negative_log_likelihood 1.065e+00, trn/w_norm 9.966e+01, trn/g_norm 1.710e+00, trn/lr 1.388e-03, trn/dyn_scale 6.554e+04, val/acc 7.382e-01, val/nll 1.032e+00, val/best_acc 7.382e-01 (best_acc: 7.365e-01 -> 7.382e-01)
[2023-06-10 02:50:32] [Iter   64000/  64000] trn/loss 1.058e+00, trn/negative_log_likelihood 1.058e+00, trn/w_norm 9.961e+01, trn/g_norm 1.709e+00, trn/lr 1.986e-04, trn/dyn_scale 6.554e+04, val/acc 7.384e-01, val/nll 1.031e+00, val/best_acc 7.384e-01 (best_acc: 7.382e-01 -> 7.384e-01)
[2023-06-10 02:54:28] ImageNet/acc 7.376e-01, ImageNet/nll 1.039e+00, ImageNetV2/acc 6.085e-01, ImageNetV2/nll 1.701e+00, ImageNetR/acc 3.457e-01, ImageNetR/nll 3.831e+00, ImageNetA/acc 1.893e-02, ImageNetA/nll 6.341e+00, ImageNetSketch/acc 2.293e-01, ImageNetSketch/nll 5.062e+00
