[2023-05-31 04:01:07] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 04:01:07] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 50
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_50x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 04:01:08] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 04:01:35] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 04:01:37] The number of trainable parameters: 25556032
[2023-05-31 04:08:36] [Iter    1000/  64000] trn/loss 6.187e+00, trn/negative_log_likelihood 6.187e+00, trn/w_norm 2.493e+02, trn/g_norm 7.064e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 6.102e-02, val/nll 5.489e+00, val/best_acc 6.102e-02 (best_acc: 0.000e+00 -> 6.102e-02)
[2023-05-31 05:38:27] [Iter   15000/  64000] trn/loss 2.269e+00, trn/negative_log_likelihood 2.269e+00, trn/w_norm 1.501e+02, trn/g_norm 8.047e-01, trn/lr 7.616e-01, trn/dyn_scale 6.554e+04, val/acc 4.498e-01, val/nll 2.434e+00, val/best_acc 4.889e-01
[2023-05-31 05:44:43] [Iter   16000/  64000] trn/loss 2.252e+00, trn/negative_log_likelihood 2.252e+00, trn/w_norm 1.501e+02, trn/g_norm 8.079e-01, trn/lr 7.517e-01, trn/dyn_scale 6.554e+04, val/acc 4.703e-01, val/nll 2.321e+00, val/best_acc 4.889e-01
[2023-05-31 05:51:07] [Iter   17000/  64000] trn/loss 2.234e+00, trn/negative_log_likelihood 2.234e+00, trn/w_norm 1.500e+02, trn/g_norm 8.108e-01, trn/lr 7.408e-01, trn/dyn_scale 6.554e+04, val/acc 4.943e-01, val/nll 2.201e+00, val/best_acc 4.943e-01 (best_acc: 4.889e-01 -> 4.943e-01)
[2023-05-31 05:57:28] [Iter   18000/  64000] trn/loss 2.217e+00, trn/negative_log_likelihood 2.217e+00, trn/w_norm 1.499e+02, trn/g_norm 8.147e-01, trn/lr 7.289e-01, trn/dyn_scale 6.554e+04, val/acc 4.911e-01, val/nll 2.213e+00, val/best_acc 4.943e-01
[2023-05-31 06:03:53] [Iter   19000/  64000] trn/loss 2.199e+00, trn/negative_log_likelihood 2.199e+00, trn/w_norm 1.498e+02, trn/g_norm 8.195e-01, trn/lr 7.160e-01, trn/dyn_scale 6.554e+04, val/acc 4.949e-01, val/nll 2.184e+00, val/best_acc 4.949e-01 (best_acc: 4.943e-01 -> 4.949e-01)
[2023-05-31 06:10:14] [Iter   20000/  64000] trn/loss 2.183e+00, trn/negative_log_likelihood 2.183e+00, trn/w_norm 1.496e+02, trn/g_norm 8.247e-01, trn/lr 7.021e-01, trn/dyn_scale 6.554e+04, val/acc 4.848e-01, val/nll 2.216e+00, val/best_acc 4.949e-01
[2023-05-31 06:16:34] [Iter   21000/  64000] trn/loss 2.167e+00, trn/negative_log_likelihood 2.167e+00, trn/w_norm 1.493e+02, trn/g_norm 8.293e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 5.139e-01, val/nll 2.093e+00, val/best_acc 5.139e-01 (best_acc: 4.949e-01 -> 5.139e-01)
[2023-05-31 06:22:55] [Iter   22000/  64000] trn/loss 2.149e+00, trn/negative_log_likelihood 2.149e+00, trn/w_norm 1.489e+02, trn/g_norm 8.351e-01, trn/lr 6.718e-01, trn/dyn_scale 6.554e+04, val/acc 4.999e-01, val/nll 2.142e+00, val/best_acc 5.139e-01
[2023-05-31 06:29:11] [Iter   23000/  64000] trn/loss 2.134e+00, trn/negative_log_likelihood 2.134e+00, trn/w_norm 1.486e+02, trn/g_norm 8.422e-01, trn/lr 6.554e-01, trn/dyn_scale 6.554e+04, val/acc 5.067e-01, val/nll 2.167e+00, val/best_acc 5.139e-01
[2023-05-31 06:35:32] [Iter   24000/  64000] trn/loss 2.117e+00, trn/negative_log_likelihood 2.117e+00, trn/w_norm 1.482e+02, trn/g_norm 8.459e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 5.124e-01, val/nll 2.097e+00, val/best_acc 5.139e-01
[2023-05-31 06:41:57] [Iter   25000/  64000] trn/loss 2.100e+00, trn/negative_log_likelihood 2.100e+00, trn/w_norm 1.476e+02, trn/g_norm 8.542e-01, trn/lr 6.204e-01, trn/dyn_scale 6.554e+04, val/acc 5.217e-01, val/nll 2.050e+00, val/best_acc 5.217e-01 (best_acc: 5.139e-01 -> 5.217e-01)
[2023-05-31 06:48:20] [Iter   26000/  64000] trn/loss 2.083e+00, trn/negative_log_likelihood 2.083e+00, trn/w_norm 1.471e+02, trn/g_norm 8.615e-01, trn/lr 6.019e-01, trn/dyn_scale 6.554e+04, val/acc 5.348e-01, val/nll 1.971e+00, val/best_acc 5.348e-01 (best_acc: 5.217e-01 -> 5.348e-01)
[2023-05-31 06:54:40] [Iter   27000/  64000] trn/loss 2.064e+00, trn/negative_log_likelihood 2.064e+00, trn/w_norm 1.465e+02, trn/g_norm 8.697e-01, trn/lr 5.827e-01, trn/dyn_scale 6.554e+04, val/acc 5.277e-01, val/nll 2.010e+00, val/best_acc 5.348e-01
[2023-05-31 07:01:05] [Iter   28000/  64000] trn/loss 2.043e+00, trn/negative_log_likelihood 2.043e+00, trn/w_norm 1.459e+02, trn/g_norm 8.783e-01, trn/lr 5.631e-01, trn/dyn_scale 6.554e+04, val/acc 5.131e-01, val/nll 2.115e+00, val/best_acc 5.348e-01
[2023-05-31 07:07:32] [Iter   29000/  64000] trn/loss 2.023e+00, trn/negative_log_likelihood 2.023e+00, trn/w_norm 1.452e+02, trn/g_norm 8.875e-01, trn/lr 5.429e-01, trn/dyn_scale 6.554e+04, val/acc 5.476e-01, val/nll 1.901e+00, val/best_acc 5.476e-01 (best_acc: 5.348e-01 -> 5.476e-01)
[2023-05-31 07:13:52] [Iter   30000/  64000] trn/loss 2.002e+00, trn/negative_log_likelihood 2.002e+00, trn/w_norm 1.445e+02, trn/g_norm 8.969e-01, trn/lr 5.224e-01, trn/dyn_scale 6.554e+04, val/acc 5.535e-01, val/nll 1.889e+00, val/best_acc 5.535e-01 (best_acc: 5.476e-01 -> 5.535e-01)
[2023-05-31 07:20:14] [Iter   31000/  64000] trn/loss 1.983e+00, trn/negative_log_likelihood 1.983e+00, trn/w_norm 1.437e+02, trn/g_norm 9.068e-01, trn/lr 5.014e-01, trn/dyn_scale 6.554e+04, val/acc 5.656e-01, val/nll 1.828e+00, val/best_acc 5.656e-01 (best_acc: 5.535e-01 -> 5.656e-01)
[2023-05-31 07:26:40] [Iter   32000/  64000] trn/loss 1.962e+00, trn/negative_log_likelihood 1.962e+00, trn/w_norm 1.428e+02, trn/g_norm 9.169e-01, trn/lr 4.802e-01, trn/dyn_scale 6.554e+04, val/acc 5.761e-01, val/nll 1.774e+00, val/best_acc 5.761e-01 (best_acc: 5.656e-01 -> 5.761e-01)
[2023-05-31 07:33:02] [Iter   33000/  64000] trn/loss 1.939e+00, trn/negative_log_likelihood 1.939e+00, trn/w_norm 1.419e+02, trn/g_norm 9.287e-01, trn/lr 4.587e-01, trn/dyn_scale 6.554e+04, val/acc 5.423e-01, val/nll 1.954e+00, val/best_acc 5.761e-01
[2023-05-31 07:39:25] [Iter   34000/  64000] trn/loss 1.915e+00, trn/negative_log_likelihood 1.915e+00, trn/w_norm 1.409e+02, trn/g_norm 9.422e-01, trn/lr 4.370e-01, trn/dyn_scale 6.554e+04, val/acc 5.658e-01, val/nll 1.827e+00, val/best_acc 5.761e-01
[2023-05-31 07:45:49] [Iter   35000/  64000] trn/loss 1.893e+00, trn/negative_log_likelihood 1.893e+00, trn/w_norm 1.400e+02, trn/g_norm 9.559e-01, trn/lr 4.153e-01, trn/dyn_scale 6.554e+04, val/acc 5.686e-01, val/nll 1.813e+00, val/best_acc 5.761e-01
[2023-05-31 07:52:20] [Iter   36000/  64000] trn/loss 1.870e+00, trn/negative_log_likelihood 1.870e+00, trn/w_norm 1.390e+02, trn/g_norm 9.704e-01, trn/lr 3.935e-01, trn/dyn_scale 6.554e+04, val/acc 5.731e-01, val/nll 1.802e+00, val/best_acc 5.761e-01
[2023-05-31 07:58:55] [Iter   37000/  64000] trn/loss 1.842e+00, trn/negative_log_likelihood 1.842e+00, trn/w_norm 1.379e+02, trn/g_norm 9.857e-01, trn/lr 3.717e-01, trn/dyn_scale 6.554e+04, val/acc 5.698e-01, val/nll 1.807e+00, val/best_acc 5.761e-01
[2023-05-31 08:05:26] [Iter   38000/  64000] trn/loss 1.817e+00, trn/negative_log_likelihood 1.817e+00, trn/w_norm 1.368e+02, trn/g_norm 1.000e+00, trn/lr 3.500e-01, trn/dyn_scale 6.554e+04, val/acc 6.011e-01, val/nll 1.668e+00, val/best_acc 6.011e-01 (best_acc: 5.761e-01 -> 6.011e-01)
[2023-05-31 08:12:00] [Iter   39000/  64000] trn/loss 1.793e+00, trn/negative_log_likelihood 1.793e+00, trn/w_norm 1.356e+02, trn/g_norm 1.018e+00, trn/lr 3.284e-01, trn/dyn_scale 6.554e+04, val/acc 6.091e-01, val/nll 1.605e+00, val/best_acc 6.091e-01 (best_acc: 6.011e-01 -> 6.091e-01)
[2023-05-31 08:18:45] [Iter   40000/  64000] trn/loss 1.763e+00, trn/negative_log_likelihood 1.763e+00, trn/w_norm 1.343e+02, trn/g_norm 1.037e+00, trn/lr 3.071e-01, trn/dyn_scale 6.554e+04, val/acc 5.966e-01, val/nll 1.683e+00, val/best_acc 6.091e-01
[2023-05-31 08:25:02] [Iter   41000/  64000] trn/loss 1.734e+00, trn/negative_log_likelihood 1.734e+00, trn/w_norm 1.331e+02, trn/g_norm 1.057e+00, trn/lr 2.860e-01, trn/dyn_scale 6.554e+04, val/acc 6.039e-01, val/nll 1.628e+00, val/best_acc 6.091e-01
[2023-05-31 08:31:23] [Iter   42000/  64000] trn/loss 1.706e+00, trn/negative_log_likelihood 1.706e+00, trn/w_norm 1.318e+02, trn/g_norm 1.079e+00, trn/lr 2.653e-01, trn/dyn_scale 6.554e+04, val/acc 6.084e-01, val/nll 1.615e+00, val/best_acc 6.091e-01
[2023-05-31 08:37:44] [Iter   43000/  64000] trn/loss 1.673e+00, trn/negative_log_likelihood 1.673e+00, trn/w_norm 1.304e+02, trn/g_norm 1.102e+00, trn/lr 2.449e-01, trn/dyn_scale 6.554e+04, val/acc 6.237e-01, val/nll 1.548e+00, val/best_acc 6.237e-01 (best_acc: 6.091e-01 -> 6.237e-01)
[2023-05-31 08:44:11] [Iter   44000/  64000] trn/loss 1.642e+00, trn/negative_log_likelihood 1.642e+00, trn/w_norm 1.290e+02, trn/g_norm 1.125e+00, trn/lr 2.251e-01, trn/dyn_scale 6.554e+04, val/acc 6.288e-01, val/nll 1.529e+00, val/best_acc 6.288e-01 (best_acc: 6.237e-01 -> 6.288e-01)
[2023-05-31 08:50:41] [Iter   45000/  64000] trn/loss 1.609e+00, trn/negative_log_likelihood 1.609e+00, trn/w_norm 1.275e+02, trn/g_norm 1.152e+00, trn/lr 2.057e-01, trn/dyn_scale 6.554e+04, val/acc 6.309e-01, val/nll 1.525e+00, val/best_acc 6.309e-01 (best_acc: 6.288e-01 -> 6.309e-01)
[2023-05-31 08:57:09] [Iter   46000/  64000] trn/loss 1.576e+00, trn/negative_log_likelihood 1.576e+00, trn/w_norm 1.260e+02, trn/g_norm 1.181e+00, trn/lr 1.870e-01, trn/dyn_scale 6.554e+04, val/acc 6.434e-01, val/nll 1.441e+00, val/best_acc 6.434e-01 (best_acc: 6.309e-01 -> 6.434e-01)
[2023-05-31 09:03:44] [Iter   47000/  64000] trn/loss 1.539e+00, trn/negative_log_likelihood 1.539e+00, trn/w_norm 1.245e+02, trn/g_norm 1.210e+00, trn/lr 1.688e-01, trn/dyn_scale 6.554e+04, val/acc 6.525e-01, val/nll 1.423e+00, val/best_acc 6.525e-01 (best_acc: 6.434e-01 -> 6.525e-01)
[2023-05-31 09:10:13] [Iter   48000/  64000] trn/loss 1.504e+00, trn/negative_log_likelihood 1.504e+00, trn/w_norm 1.229e+02, trn/g_norm 1.243e+00, trn/lr 1.514e-01, trn/dyn_scale 6.554e+04, val/acc 6.611e-01, val/nll 1.366e+00, val/best_acc 6.611e-01 (best_acc: 6.525e-01 -> 6.611e-01)
[2023-05-31 09:16:41] [Iter   49000/  64000] trn/loss 1.467e+00, trn/negative_log_likelihood 1.467e+00, trn/w_norm 1.212e+02, trn/g_norm 1.275e+00, trn/lr 1.347e-01, trn/dyn_scale 6.554e+04, val/acc 6.657e-01, val/nll 1.360e+00, val/best_acc 6.657e-01 (best_acc: 6.611e-01 -> 6.657e-01)
[2023-05-31 09:23:11] [Iter   50000/  64000] trn/loss 1.426e+00, trn/negative_log_likelihood 1.426e+00, trn/w_norm 1.195e+02, trn/g_norm 1.313e+00, trn/lr 1.187e-01, trn/dyn_scale 6.554e+04, val/acc 6.788e-01, val/nll 1.294e+00, val/best_acc 6.788e-01 (best_acc: 6.657e-01 -> 6.788e-01)
[2023-05-31 09:29:38] [Iter   51000/  64000] trn/loss 1.384e+00, trn/negative_log_likelihood 1.384e+00, trn/w_norm 1.179e+02, trn/g_norm 1.353e+00, trn/lr 1.037e-01, trn/dyn_scale 6.554e+04, val/acc 6.932e-01, val/nll 1.228e+00, val/best_acc 6.932e-01 (best_acc: 6.788e-01 -> 6.932e-01)
[2023-05-31 09:36:03] [Iter   52000/  64000] trn/loss 1.345e+00, trn/negative_log_likelihood 1.345e+00, trn/w_norm 1.162e+02, trn/g_norm 1.395e+00, trn/lr 8.946e-02, trn/dyn_scale 6.554e+04, val/acc 6.995e-01, val/nll 1.197e+00, val/best_acc 6.995e-01 (best_acc: 6.932e-01 -> 6.995e-01)
[2023-05-31 09:42:30] [Iter   53000/  64000] trn/loss 1.297e+00, trn/negative_log_likelihood 1.297e+00, trn/w_norm 1.145e+02, trn/g_norm 1.441e+00, trn/lr 7.618e-02, trn/dyn_scale 6.554e+04, val/acc 7.126e-01, val/nll 1.148e+00, val/best_acc 7.126e-01 (best_acc: 6.995e-01 -> 7.126e-01)
[2023-05-31 09:48:55] [Iter   54000/  64000] trn/loss 1.254e+00, trn/negative_log_likelihood 1.254e+00, trn/w_norm 1.129e+02, trn/g_norm 1.488e+00, trn/lr 6.387e-02, trn/dyn_scale 6.554e+04, val/acc 7.165e-01, val/nll 1.127e+00, val/best_acc 7.165e-01 (best_acc: 7.126e-01 -> 7.165e-01)
[2023-05-31 09:55:23] [Iter   55000/  64000] trn/loss 1.207e+00, trn/negative_log_likelihood 1.207e+00, trn/w_norm 1.114e+02, trn/g_norm 1.535e+00, trn/lr 5.255e-02, trn/dyn_scale 6.554e+04, val/acc 7.272e-01, val/nll 1.083e+00, val/best_acc 7.272e-01 (best_acc: 7.165e-01 -> 7.272e-01)
[2023-05-31 10:01:52] [Iter   56000/  64000] trn/loss 1.157e+00, trn/negative_log_likelihood 1.157e+00, trn/w_norm 1.099e+02, trn/g_norm 1.586e+00, trn/lr 4.227e-02, trn/dyn_scale 6.554e+04, val/acc 7.314e-01, val/nll 1.075e+00, val/best_acc 7.314e-01 (best_acc: 7.272e-01 -> 7.314e-01)
[2023-05-31 10:08:22] [Iter   57000/  64000] trn/loss 1.112e+00, trn/negative_log_likelihood 1.112e+00, trn/w_norm 1.086e+02, trn/g_norm 1.636e+00, trn/lr 3.305e-02, trn/dyn_scale 6.554e+04, val/acc 7.387e-01, val/nll 1.032e+00, val/best_acc 7.387e-01 (best_acc: 7.314e-01 -> 7.387e-01)
[2023-05-31 10:14:49] [Iter   58000/  64000] trn/loss 1.065e+00, trn/negative_log_likelihood 1.065e+00, trn/w_norm 1.074e+02, trn/g_norm 1.688e+00, trn/lr 2.492e-02, trn/dyn_scale 6.554e+04, val/acc 7.480e-01, val/nll 9.900e-01, val/best_acc 7.480e-01 (best_acc: 7.387e-01 -> 7.480e-01)
[2023-05-31 10:21:24] [Iter   59000/  64000] trn/loss 1.022e+00, trn/negative_log_likelihood 1.022e+00, trn/w_norm 1.064e+02, trn/g_norm 1.729e+00, trn/lr 1.791e-02, trn/dyn_scale 6.554e+04, val/acc 7.546e-01, val/nll 9.671e-01, val/best_acc 7.546e-01 (best_acc: 7.480e-01 -> 7.546e-01)
[2023-05-31 10:27:59] [Iter   60000/  64000] trn/loss 9.813e-01, trn/negative_log_likelihood 9.813e-01, trn/w_norm 1.056e+02, trn/g_norm 1.765e+00, trn/lr 1.204e-02, trn/dyn_scale 6.554e+04, val/acc 7.594e-01, val/nll 9.486e-01, val/best_acc 7.594e-01 (best_acc: 7.546e-01 -> 7.594e-01)
[2023-05-31 10:34:31] [Iter   61000/  64000] trn/loss 9.462e-01, trn/negative_log_likelihood 9.462e-01, trn/w_norm 1.050e+02, trn/g_norm 1.792e+00, trn/lr 7.317e-03, trn/dyn_scale 6.554e+04, val/acc 7.624e-01, val/nll 9.363e-01, val/best_acc 7.624e-01 (best_acc: 7.594e-01 -> 7.624e-01)
[2023-05-31 10:41:08] [Iter   62000/  64000] trn/loss 9.215e-01, trn/negative_log_likelihood 9.215e-01, trn/w_norm 1.047e+02, trn/g_norm 1.806e+00, trn/lr 3.763e-03, trn/dyn_scale 6.554e+04, val/acc 7.642e-01, val/nll 9.253e-01, val/best_acc 7.642e-01 (best_acc: 7.624e-01 -> 7.642e-01)
[2023-05-31 10:47:42] [Iter   63000/  64000] trn/loss 9.035e-01, trn/negative_log_likelihood 9.035e-01, trn/w_norm 1.045e+02, trn/g_norm 1.808e+00, trn/lr 1.388e-03, trn/dyn_scale 6.554e+04, val/acc 7.668e-01, val/nll 9.190e-01, val/best_acc 7.668e-01 (best_acc: 7.642e-01 -> 7.668e-01)
[2023-05-31 10:54:15] [Iter   64000/  64000] trn/loss 8.970e-01, trn/negative_log_likelihood 8.970e-01, trn/w_norm 1.045e+02, trn/g_norm 1.808e+00, trn/lr 1.986e-04, trn/dyn_scale 6.554e+04, val/acc 7.664e-01, val/nll 9.177e-01, val/best_acc 7.668e-01
